,arrivals_exponential_rate,services_exponential_rate,queue_capacity,number_of_stations,queue_size_avg,end_to_end_delay_avg,drop_probabilities
0,100;100,100;100,500,2,351.7579813216891,11.952837289158088,0.5089391416016213
1,100;100,200;200,500,2,70.16893071440603,1.4163778989043774,1.0
2,100;100,300;300,500,2,0.7470491100187743,0.024819804325200902,1.0
3,100;100,400;400,500,2,0.2842935624426165,0.013195184408636852,1.0
4,100;100,500;500,500,2,0.15809928071119445,0.009187916537500776,1.0
5,100;100,600;600,500,2,0.09908734857613728,0.0069731989117175815,1.0
6,100;100,700;700,500,2,0.06976137093446298,0.005663583353337784,1.0
7,100;100,800;800,500,2,0.05033768473769509,0.004755354517382815,1.0
8,100;100,900;900,500,2,0.03886567065344118,0.00410626106992407,1.0
9,200;200,100;100,500,2,495.25693095381064,14.708051193228133,0.17401392643878016
10,200;200,200;200,500,2,392.25107169487103,6.394889251324482,0.5026991413927991
11,200;200,300;300,500,2,246.37149525915711,3.280375020856385,0.754455089101782
12,200;200,400;400,500,2,122.20675716910755,1.2320604338670158,0.998639959198776
13,200;200,500;500,500,2,1.6759070885585987,0.022752405131997055,1.0
14,200;200,600;600,500,2,0.7234604738733785,0.01225177470862113,1.0
15,200;200,700;700,500,2,0.43438448885633185,0.008637082583850863,1.0
16,200;200,800;800,500,2,0.2955035138011351,0.006690641009383486,1.0
17,200;200,900;900,500,2,0.20853614619649996,0.005398040726926286,1.0
18,300;300,100;100,500,2,496.170554459113,14.537981399087396,0.08884260785865349
19,300;300,200;200,500,2,493.60714147410636,7.420414047604879,0.27089419224733136
20,300;300,300;300,500,2,297.2401799097406,3.62443968286919,0.5075046810385397
21,300;300,400;400,500,2,248.10569473525123,2.4789264098718973,0.6707134142682853
22,300;300,500;500,500,2,245.15991129351303,1.953165479138372,0.8417268345366907
23,300;300,600;600,500,2,125.64061837900542,0.8420937522334997,0.998439984399844
24,300;300,700;700,500,2,2.8865977915321106,0.023457062697780355,1.0
25,300;300,800;800,500,2,1.2240025431512542,0.011902148887703811,1.0
26,300;300,900;900,500,2,0.7231318462338356,0.008196949216937583,1.0
27,400;400,100;100,500,2,496.89800028953744,14.600441743257036,0.053649296027987944
28,400;400,200;200,500,2,495.3777188208293,7.301233107494719,0.1751085471872043
29,400;400,300;300,500,2,491.4368363249923,4.85899063223197,0.3328812382842666
30,400;400,400;400,500,2,372.17417945898904,3.0962811391053497,0.5034526850744475
31,400;400,500;500,500,2,249.13605636029772,1.990944052199021,0.624984999399976
32,400;400,600;600,500,2,246.7787007845722,1.640456253730489,0.7512750255005101
33,400;400,700;700,500,2,241.7248532252121,1.3805979232778118,0.8833776675533511
34,400;400,800;800,500,2,115.32345916171217,0.5791838527144471,1.0
35,400;400,900;900,500,2,3.745471972805053,0.022032003055709817,1.0
36,500;500,100;100,500,2,496.76847492788283,14.256916981010026,0.03701324180795498
37,500;500,200;200,500,2,496.1438895256488,7.331850172821042,0.12051059216922792
38,500;500,300;300,500,2,494.5035975574487,4.905054405950507,0.23200793173233877
39,500;500,400;400,500,2,491.2749635303603,3.6470057071758104,0.3676762192396472
40,500;500,500;500,500,2,393.4673153950875,2.5562362681591084,0.505248356070237
41,500;500,600;600,500,2,250.2011600886992,1.654825263322956,0.606286377182631
42,500;500,700;700,500,2,247.86421158705045,1.4119787795817307,0.7078341566831337
43,500;500,800;800,500,2,244.909707699847,1.2238701373562275,0.8024960499209984
44,500;500,900;900,500,2,239.5700264464646,1.0688659372143543,0.9075290752907529
45,600;600,100;100,500,2,497.16694304161206,14.29843964954679,0.026486393555331805
46,600;600,200;200,500,2,496.44661261471975,7.246534677994513,0.08896191412006414
47,600;600,300;300,500,2,495.21539467072955,4.862600260955294,0.17577189814108996
48,600;600,400;400,500,2,493.095100502019,3.655044375947397,0.2759851258002848
49,600;600,500;500,500,2,488.88637753363423,2.9253016761976376,0.3911072163071124
50,600;600,600;600,500,2,337.4706156775318,1.945167787304419,0.5044674229495031
51,600;600,700;700,500,2,250.03337751264527,1.416016071517408,0.5940875270021602
52,600;600,800;800,500,2,248.28555355100457,1.2318429446462709,0.6785167851678517
53,600;600,900;900,500,2,246.6315426350483,1.091966166086489,0.7564451289025781
54,700;700,100;100,500,2,497.09791888359166,14.125100574087831,0.020113986516368986
55,700;700,200;200,500,2,496.5953042802681,7.34855673572107,0.0667213867850165
56,700;700,300;300,500,2,496.1124573311301,4.867765774314753,0.13573395124187868
57,700;700,400;400,500,2,495.2494944282665,3.6560893770376826,0.21684856770935443
58,700;700,500;500,500,2,491.8850264823659,2.962688842118709,0.3033767177207929
59,700;700,600;600,500,2,486.9467538270881,2.424987894840587,0.40728989134859156
60,700;700,700;700,500,2,332.08344227902666,1.6520588351783303,0.5074561007651655
61,700;700,800;800,500,2,251.3091239736594,1.2430355928506405,0.5769415388307766
62,700;700,900;900,500,2,248.84355970252128,1.1028049054643199,0.6485099999999999
63,800;800,100;100,500,2,497.16185789810163,13.619647316349766,0.016636729571912676
64,800;800,200;200,500,2,496.73483447919455,7.133221876743823,0.05522726516528641
65,800;800,300;300,500,2,496.47417620499675,4.874429415946093,0.1080667481738124
66,800;800,400;400,500,2,495.7839961587465,3.6808223206587662,0.17162746660066605
67,800;800,500;500,500,2,493.9951473962167,2.9441229965321383,0.2463312250369411
68,800;800,600;600,500,2,492.17286339265087,2.434782196586471,0.3317490685429642
69,800;800,700;700,500,2,483.32880776368734,2.063877114453696,0.42345246546821147
70,800;800,800;800,500,2,337.92533933357095,1.4650108479566812,0.5061057393950313
71,800;800,900;900,500,2,251.4201554733513,1.1178745757766406,0.5642746411961794
72,900;900,100;100,500,2,497.42488635903237,13.910196019235453,0.013281259574708633
73,900;900,200;200,500,2,497.06090396196316,7.208620039249507,0.04432964959941351
74,900;900,300;300,500,2,496.308815676918,4.916679109127003,0.08675198470738271
75,900;900,400;400,500,2,495.6825362833498,3.6450479701760035,0.14324753307332425
76,900;900,500;500,500,2,495.3057268790649,2.936010166943984,0.20640352472874998
77,900;900,600;600,500,2,493.5560575545128,2.440277632872608,0.2780128872843654
78,900;900,700;700,500,2,488.72594392917836,2.079956420576441,0.34983488963332493
79,900;900,800;800,500,2,484.7423335472664,1.8293118553793262,0.42345695541327494
80,900;900,900;900,500,2,391.5703314165062,1.42310902405378,0.5034855189529502
